timestamp,x,y,z
1456704195582848,-3,0,0.4375
1456704195603848,-0.875,0.3125,0.375
1456704195619854,-0.125,0,-0.125
1456704195643586,-0.4375,-0.6875,-0.1875
1456704195663586,-0.0625,-0.6875,-0.375
1456704195679598,0.1875,-0.25,-0.125
1456704195703864,0.625,-0.4375,-0.1875
1456704195723863,-0.125,-0.5,-0.1875
1456704195739610,-0.6875,-1.125,-0.5625
1456704195762611,-0.75,-1.3125,-1.1875
1456704195783832,-1.75,-2.0625,-2.1875
1456704195799829,-3.75,-2.1875,-2.6875
1456704195823832,-6.3125,-2.1875,-3.8125
1456704195843834,-8.8125,-1.6875,-4.1875
1456704195859833,-4.625,-0.9375,-3.3125
1456704195883860,0,-0.625,-2.25
1456704195903709,0.625,-0.4375,-0.3125
1456704195919710,-1.125,-1.3125,0.6875
1456704195942931,-4.75,-0.6875,3.625
1456704195963713,-3.3125,0.6875,2.375
1456704195979723,-3.4375,-0.375,-1.0625
1456704196002853,3.3125,-0.75,-0.4375
1456704196023852,4.4375,-2.125,2.0625
1456704196038733,1.8125,-3.8125,2.5
1456704196061850,11.8125,-2.375,1.5625
1456704196083201,7.75,0.125,6.1875
1456704196098979,-3.9375,6.8125,8.6875
1456704196121981,-14,2.5625,2.875
1456704196142985,-2.5,2.25,-2.3125
1456704196158983,10,0.625,-2.5625
1456704196181993,6.5625,-2,-4.5625
1456704196204998,3.3125,-3.5625,-2
1456704196218999,0.625,-0.625,0.4375
1456704196242001,-1.125,0.5625,1.8125
1456704196265004,-1.1875,0.125,1.4375
1456704196279549,0.4375,1.25,1.1875
1456704196302523,0.1875,0.8125,0.1875
1456704196325524,-1.4375,-0.3125,-0.5625
1456704196339552,-0.25,-1.25,-0.625
1456704196362551,-0.75,-0.25,0.75
1456704196385807,-1.6875,1.125,1.5
1456704196399841,-3.0625,1.25,0.75
1456704196421915,-1,1,0.8125
1456704196445787,1.0625,1.4375,1.9375
1456704196466915,0.75,1.9375,1.0625
1456704196482423,-0.6875,1.125,-2.125
1456704196504931,-2.3125,-1.1875,-2.875
1456704196526154,2.25,-1.8125,-2.8125
1456704196542953,3.4375,-2.3125,-2.125
1456704196564936,3.375,-2.875,-1.625
1456704196586952,2.125,-2.5,-0.6875
1456704196601953,-0.6875,-1.625,0.125
1456704196624954,-1.625,-0.75,1.0625
1456704196645958,-0.3125,-0.625,1.125
1456704196661967,-0.1875,-0.75,1.5625
1456704196685354,-1.125,-0.75,1.875
1456704196706355,-0.5,-1,1.0625
1456704196722357,0.1875,-0.875,0.625
1456704196745359,1.75,-0.6875,0.5625
1456704196766361,1.3125,-1.1875,0.8125
1456704196782368,0.625,-1.625,0.75
1456704196805376,0.875,-1.3125,0.1875
1456704196826684,1.125,-0.625,-0.0625
1456704196842379,-0.375,-0.25,0.3125
1456704196865380,-0.375,-0.1875,0.4375
1456704196886547,0.125,-0.1875,0.6875
1456704196902246,0.625,0.0625,0.375
1456704196924247,0.625,0.1875,-0.0625
1456704196948249,-0.75,0.5625,-0.4375
1456704196962255,-1.9375,0.75,-0.1875
1456704196984723,-2.0625,0.6875,0.375
1456704197006753,-0.125,0.375,0.1875
1456704197022494,-0.3125,-0.125,0.4375
1456704197044494,-0.625,0.6875,0.5625
1456704197066833,-0.875,0.8125,0.3125
1456704197082522,-1.5625,0.5625,0.375
1456704197104531,-0.3125,-0.1875,0.4375
1456704197128532,-0.125,-0.3125,0
1456704197142533,-0.6875,0.5,0.4375
1456704197164534,-0.9375,0.875,0.75
1456704197187855,-1.625,1.3125,1
1456704197201900,-1.1875,0.4375,0.75
1456704197223851,-0.3125,-0.0625,0.5625
1456704197247748,0.4375,-0.4375,0.5625
1456704197261809,-0.5,-0.5625,0.5625
1456704197293805,-1.6875,-0.75,0.75
1456704197308806,-1.375,-0.5,0.9375
1456704197321876,0.625,0.375,1.375
1456704197343830,1.5625,0.25,1.3125
1456704197368722,0.25,-0.0625,1.0625
